type;full name;name;director;address;phone number;site
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Ростовское-на-Дону строительное профессиональное училище № 20»;ГБПОУ РО «Ростовское-на-Дону строительное профессиональное училище № 20»;Фроленко Евгений Владимирович;344002, Ростовская область, г. Ростов-на-Дону, ул. Московская, 49;8(863)240-82-20;http://rostov20pu.hostedu.ru/index.html
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Сальский аграрно-технический колледж»; ГБПОУ РО «Сальский аграрно-технический колледж»;Сероштан Александр Иванович;347628 Ростовская область, Сальский район, п. Гигант, ул. Крупской, 6;(8637)27-82-49,;http://www.ccxk.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Сальский индустриальный техникум»; ГБПОУ РО «Сальский индустриальный техникум»;Овчаров Павел Михайлович;347630, Ростовская обл., Сальский район, г. Сальск, ул. Ленина, 27;8(86372)5-00-52, 5-05-71;http://sit-salsk.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Семикаракорский агротехнологический техникум»;ГБПОУ РО «Семикаракорский агротехнологический техникум»;Шаповалова Т.А.;346630, г. Семикаракорск, ул. Закруткина, 23;8-(86356)4-69-06;http://spu73-stsit.ucoz.site
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Среднеегорлыкское профессиональное училище № 85»;ГБПОУ РО «Среднеегорлыкское профессиональное училище № 85»;Колода Иван Павлович;347762. Ростовская область, Целинский р-он, с. Средний Егорлык, ул. Школьная, 4;"(8-86371)9-25-73; 9-24-21";http://profuch85.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский авиационный колледж имени В.М. Петлякова»; ГБПОУ РО  «ТАВИАК»;Жданова Елена Владимировна;347900, Ростовская область,  ул. Чехова, 75/пер.Тургеневский,44;(8634) 38-39-46, 61-40-47;http://taviak.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский колледж морского приборостроения»; ГБПОУ РО «Таганрогский колледж морского приборостроения»;Полиёв Владимир Валентинович;347900, Ростовская область, г. Таганрог пер, Мечниковский, 5,;"(8634)38-34-37; (8634) 61-26-29,";http://ткмп.рф
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский металлургический техникум»;ГБПОУ РО «Таганрогский металлургический техникум»;Баранов Владимир Борисович;347922, Ростовская область, г. Таганрог, ул. Петровская, 40;(8634)36-02-92, 31-26-59;http://tmk.3dn.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский механический колледж»; ГБПОУ РО  «Таганрогский механический колледж»;Магеррамов Рафаил Вагифович;г. Таганрог ул. Свободы 21;8(8634)369765;https://tmexk.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский техникум машиностроения и металлургии «Тагмет»;ГБПОУ РО «Таганрогский техникум машиностроения и металлургии «Тагмет»;Ревко Сергей Анатольевич;347909, Ростовская область, г. Таганрог, ул. Бабушкина, 2 В;(8634)431-286;https://техникум-тагмет.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский техникум строительной индустрии и технологий»;ГБПОУ РО «Таганрогский техникум строительной индустрии и технологий»;Михалева Наталья Николаевна;347939, Ростовская область, г. Таганрог, ул.Фадеева,21;"8-(8634)33-36-51; 33-53-17";http://www.infotaganrog.ru/trspl30
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Таганрогский технологический техникум питания и торговли»;ГБПОУ РО «Таганрогский технологический техникум питания и торговли»;Шатун Любовь Григорьевна;347902, Ростовская область, г. Таганрог, ул.Свободы, д. 34;"8-(86344)64-84-80;64-84-51";http://tttpt.edusite.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Тарасовский многопрофильный техникум»;ГБПОУ РО «Тарасовский многопрофильный техникум»;Хлыпало Александр Анатольевич;346052, Ростовская область Тарасовский р-н п. Тарасовский ул.Грибоедова 5;8-(86386)3-21-30;http://тарасовский-техникум.рф
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Торгово-промышленный техникум имени Л.Б. Ермина в г. Зверево»;ГБПОУ РО «Профессиональное училище № 64 имени Л.Б. Ермина в г. Зверево»;Борисова Ирина Григорьевна;346312, Ростовская область, г. Зверево, ул. Обухова, 45;8-(863) 554-28-24;http://pu-64.ucoz.ru
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Чертковское профессиональное училище № 95»;ГБПОУ РО «Чертковское профессиональное училище № 95»;Колосов Иван Иванович;346025, Ростовская область, Чертковский район, с. Осиково, ул. Российская, 43;"8-(86387) 47-6-98; 4-76-33";http://пу95.рф/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинский педагогический колледж»; ГБПОУ РО «Шахтинский педагогический колледж»;Богачева Елена Васильевна;346500 Ростовская обл., г. Шахты, ул. Шевченко, 151;+7(8636)22-26-50;http://shakht-pedcol.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинский политехнический колледж»;ГБПОУ РО «Шахтинский политехнический колледж»;Головин Игорь Николаевич;346513, Ростовская область, г. Шахты, пер. Якутский, 2;"8-(8636)22-49-69;25-36-52";https://shptk.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинский профессиональный лицей № 33»;ГБПОУ РО ПЛ №33;Симбирская Марина Николаевна;346513, Ростовская область, г. Шахты, пр. Победа революции, 4;"8-(86362)2-00-55;";http://proflicey-33.ucoz.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И.»; ГБПОУ РО «ШРКТЭ»;Кочетов Евгений Викторович;346500, Ростовская область г. Шахты, ул. Шевченко,116;(8636)22-04-27, факс: (8636)22-06-21;http://www.topcollege.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинский техникум дизайна и сервиса «Дон-Текс»;ГБПОУ РО «Дон-Текс»;Сударкин Сергей Петрович;346504, Ростовская область, г. Шахты, ул. Садовая, 21;"(8636) 22-68-52; 25-59-31";http://don-teks.ucoz.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области «Шахтинское профессиональное училище № 36»;ГБПОУ РО «Шахтинское профессиональное училище № 36»;Мочайлова Наталья Борисовна;346506,Ростовская область, г. Шахты, пр. Ленинского Комсомола, 8;"8-(86362)3-23-97;";http://prof36.ru/
Профессиональная образовательная организация;Государственное бюджетное профессиональное образовательное учреждение Ростовской области Таганрогский техникум сервиса и жилищно-коммунального хозяйства № 23;ГБПОУ РО  Таганрогский техникум сервиса и жилищно-коммунального хозяйства № 23;Михалева Амина Исмаиловна;347942, Ростовская область, г.Таганрог, ул. Инициативная,22;"8-(8634) 60-01-59; 60-14-57";http://spo23tag.ru
Санаторные школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская санаторная школа-интернат № 28»;ГКОУ РО «Ростовская санаторная школа-интернат № 28»;Воронько Татьяна Леонидовна;ул. 14-линия д. 64/69, Ростов н/Д, 344019;8(863) 2832724;http://школа28-ростов.рф/
Санаторные школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская-на-Дону санаторная школа-интернат № 74»;ГКОУ РО «Ростовская-на-Дону санаторная школа-интернат № 74»;Чилингарова Вера Овидиевна;344020, ул.Щербакова, 111, г. Ростов-на-Дону;863-210-63-00;http://shkola74.my1.ru/
Санаторные школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская-на-Дону санаторная школа-интернат»;ГКОУ РО «Ростовская-на-Дону санаторная школа-интернат»;Филиппенко Николай Иванович;344025, ул.36 линия, 58, г. Ростов-на-Дону;(863)-251-74-27, (863)-251-76-09;http://schoolrsb.r61.net
Специальное учебно-воспитательное учреждение закрытого типа;Государственное казенное общеобразовательное учреждение Ростовской области «Специальное учебно-воспитательное учреждение закрытого типа для обучающихся с девиантным (общественно опасным) поведением»;ГКОУ РО «Специальное учебно-воспитательное учреждение закрытого типа»;Тищенко Владимир Николаевич;346009, Ростовская область, Чертковский район, с. Маньково-Калитвенское, пер. Луначарского, 39;8(86387)47-9-04;http://www.rsosh61.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Азовская специальная школа № 7»;ГКОУ РО Азовская школа № 7;Попова Инна Петровна;346781 Ростовская область г. Азов, ул. Васильева 92;8(86342) 6-07-45;https://shkola7-azov.ru
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Волгодонская специальная школа-интернат «Восхождение»»;ГКОУ РО «Волгодонская специальная школа-интернат «Восхождение»»;Белоусова Татьяна Яковлевна;347366, Ростовская обл, Волгодонск г, Первомайский пер, 75;8-8639-212541;http://shkolainternat6.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Волгодонская специальная школа-интернат № 14»;ГКОУ РО «Волгодонская специальная школа-интернат № 14»;Загребельная Ольга Анатольевна;347380, Ростовская область, г. Волгодонск, улица Маршала Кошевого, 8;8(639)25-68-86;https://интернат-14.рф/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Гуковская специальная школа-интернат № 11»;ГКОУ РО Гуковская  школа-интернат № 11;Дьяченко Татьяна Петровна;347871 г.Гуково, Ростовской области , ул.Герцена д.115;8(86361)5-22-72;http://internat11.3dn.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Гуковская специальная школа-интернат № 12»;ГКОУ РО «Гуковская специальная школа-интернат № 12»;Сейфулина Ирина Рифатовна;г. Гуково, Ростовская обл. ул. Комсомольская д.75;886361 5-86-11;http://inter12gukovo.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Донецкая специальная школа-интернат»;ГКОУ РО Донецкая школа-интернат;Лобанова Наталья Владимировна;346330, Ростовская область, г. Донецк, ул. Некрасова, д.1;"8(86368)2-72-94; 8(86368)2-79-26";http://donschkool-gkou.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Зерноградская специальная школа-интернат»;ГКОУ РО «Зерноградская специальная школа-интернат»;Харченко Владимир Николаевич;347740, Ростовская область, ул. Мира, д. 10;8 (86359) 41-2-36;http://zsi-5-ru.1gb.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Казанская специальная школа-интернат»;ГКОУ РО Казанская школа-интернат;Долженкова Светлана Анатольевна;"346170 Ростовская область, Верхнедонской район, ст.Казанская, ул. Трудовая, 6 &quot;а&quot;";8-86364-3-14-62;http://ski-kazanskaya.ucoz.com/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Каменская специальная школа № 15»;ГКОУ РО «Каменская специальная школа № 15»;Лещинская Татьяна Анатольевна;347800, Ростовская область, город Каменск-Шахтинский , улица Кирова, 70;8-86365-75042;http://shkola15.ucoz.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Каменская специальная школа-интернат»;ГКОУ РО «Каменская специальная школа-интернат»;Пискунова Маргарита Юрьевна;347810, Ростовская область, г.Каменск-Шахтинский, ул.Кирова, 98;8(86365)7-39-14;http://kamint.hostedu.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Колушкинская специальная школа-интернат»;ГКОУ РО «Колушкинская специальная школа-интернат»;Землянская Людмила Григорьевна;"346065, Ростовская область, Тарасовский район,сл. Колушкино, ул. Лесная,8 &quot;а&quot;;";8(86386)37-7-19, 8(86386)37-7-34;http://колушки-интернат.рф/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Красносулинская специальная школа-интернат № 1»;ГКОУ РО «Красносулинская специальная школа-интернат № 1»;Маликова Наталья Анатольевна;346353, г. Красный Сулин Ростовская область, пер Фондовый,16;+7(86367)5-71-11;http://красносулинская-школа-интернат.рф
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Матвеево-Курганская специальная школа-интернат»;ГКОУ РО «Матвеево-Курганская специальная школа-интернат»;Зинченко Вячеслав Викторович;346970, Ростовская область, п. Матвеев Курган, ул. 40 лет Пионерии, 3;(8-86341) 3-19-52;http://mkinter.ucoz.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Николаевская специальная школа-интернат»;ГКОУ РО  «Николаевская специальная школа-интернат»;Острянская Анна Алексеевна;347272 Ростовская область, Константиновский район, станица Николаевская, улица Гагарина 43;8(86393)5-11-81;http://nikinternat.ru/
Специальные школы, школы-интернаты;государственное казенное общеобразовательное учреждение Ростовской области «Новочеркасская специальная школа-интернат № 1»;ГКОУ РО Новочеркасская школа-интернат № 1;Мирошникова Вера Викторовна;346405 Ростовская область, г.Новочеркасск, ул.Спортивная 111/29;(8635)23-23-24, 23-23-54;http://www.skint8v1novoch.ru
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Новочеркасская специальная школа-интернат № 33»;ГКОУ РО Новочеркасская специальная школа-интернат № 33;Климченко Ирина Евгеньевна;г. Новочеркасск, ул. Тополиная, 60;8(8635)26-80-02;http://schkola33.gauro-riacro.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Орловская специальная школа-интернат»;ГКОУ РО «Орловская специальная школа-интернат»;Краснощекова Алевтина Григорьевна;Ростовская область, Орловский район, п. Орловский, пер. Октябрьский, 119;(86375)32-9-23;http://orl-internat.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Пролетарская специальная школа-интернат»;ГКОУ РО «Пролетарская школа-интернат»;Грачева Евгения Васильевна;347544, г. Пролетарск, Ростовской области, ул. Рокоссовского 11;8(86374)9-96-16;https://ski-proletarsk.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Развиленская специальная школа-интернат»;ГКОУ РО «Развиленская специальная школа-интернат»;Пензар Валентина Михайловна;347561, Ростовская область, Песчанокопский район, с. Развильное, ул. Первомайская 56 а;"(86373)9-22-63; (86373)9-22-41";http://school-internat-razvil161.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская специальная школа-интернат № 38»;ГКОУ РО «Ростовская специальная школа-интернат № 38»;Безрякова Ольга Николаевна;Г.  РОСТОВ-НА-ДОНУ,  ПР.  СТАЧКИ,  235/2;(863)222-18-77;http://school-internat38.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская специальная школа-интернат № 41»;ГКОУ РО Ростовская школа-интернат № 41;Козлова Елена Васильевна;г. Ростов-на-Дону, пер. Днепровский, 119;88632234255;https://school41.rostov-obr.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская специальная школа-интернат № 42»;ГКОУ РО «Ростовская специальная школа-интернат № 42»;Шкарупа Ольга Павловна;344112 г.Ростов-на-Дону ул.Леваневского,34;"(863)252-97-56  254-89-33; 252-01-51";http://ski42.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовская специальная школа-интернат № 48»;ГКОУ РО «Ростовская специальная школа-интернат № 48»;Маетная Раиса Ивановна;г.Ростов-на-Дону, ул. Суворова, 81;263-31-35;http://internat48.ru
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Ростовский областной центр образования неслышащих учащихся»;ГКОУ РО РОЦОНУ;Шипитько Ольга Петровна;344022 г. Ростов-на-Дону, ул. Суворова, 127/пер. Нахичеванский 27;(863) 263-31-30;http://roconu.ru
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Таганрогская специальная школа № 1»;ГКОУ РО «Таганрогская специальная школа № 1»;Жарова Татьяна Александровна;РФ,РО, г.Таганрог, ул. Инструментальная, 41-1;88634648613;http://tagcorrschool.ucoz.com/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Таганрогская специальная школа № 19»;ГКОУ РО «Таганрогская специальная школа № 19»;Лепшова Лариса Александровна;347924 Ростовская область г.Таганрог ул Черняховского 4-1;8(8634)679792;http://taganrog19school.ru/
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Тацинская специальная школа-интернат»;ГКОУ РО «Тацинская специальная школа-интернат»;Иванова Галина Дмитриевна;347060, Ростовская область, ст.Тацинская, ул. Г. Волкова, 67;86397- 3-01-07, 86397-2-23-58, 86397-3-00-49;http://shkinttacinsk.ucoz.ru/
Специальные школы, школы-интернаты;государственное казенное общеобразовательное учреждение Ростовской области «Центр образования детей с ограниченными возможностями здоровья»;ГКОУ РО «Центр образования детей с ограниченными возможностями здоровья»;Карасева Наталья Викторовна;Ростовская область, Красносулинский р-он, 1750 м к востоку от 15 км а/м «Новошахтинск - Гуково».;8(86369)2-83-30;http://shkolanov8.moy.su
Специальные школы, школы-интернаты;Государственное казенное общеобразовательное учреждение Ростовской области «Шахтинская специальная школа-интернат № 16»;ГКОУ РО «Шахтинская специальная школа-интернат № 16»;Нархова Елена Александровна;346504, Ростовская область, г. Шахты, пер. Тюменский, 72;8-8636-22-59-39;http://s-i16.ru/
Учреждение психолого-педагогической и медико-социальной помощи;Государственное бюджетное учреждение Ростовской области центр психолого-педагогической, медицинской и социальной помощи;ГБУ РО ЦППМ и СП;Чаусова Лариса Казимировна;344000 г.Ростов-на-Дону, ул.Малюгиной, 214;88632641792, 88632643471;http://ocpprik.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Азовский центр помощи детям»;ГКУСО РО Азовский центр помощи детям;Байер Елена Александровна;346780, г.Азов, ул. Ленина 79;8(86342) 4-02-15;http://deticentrazov.lbihost.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Батайский центр помощи детям»;ГКУСО РО Батайский центр помощи детям;Пащенко Ольга Петровна;346880, Ростовская область г.Батайск, ул.Куйбышева, 165;8(86354)2-25-66;http://detdom-bataysk.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Большелогский центр помощи детям»;ГКУСО РО Большелогский центр помощи детям;Ремишевская Ирина Алексеевна;346710,Ростовская область, Аксайский район, х. Большой Лог, ул. Советская,73;88635034030;http://ddbollog.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Гусевский центр помощи детям»;ГКУСО РО Гусевский центр помощи детям;Донченко Ольга Владимировна;346005, Ростовская область, Чертковский район, х.Гусев, ул.Центральная,1.;8(863) 87 47588, 47590;http://gcpd.edu61.ru
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Донецкий центр помощи детям»;ГКУСО РО Донецкий центр помощи детям;Жидкова Татьяна Александровна;346330, Ростовская область, г. Донецк, пер. Карбышева, 32;(86368) 2-75-88;http://detdomdonetsk.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Ёлкинский центр помощи детям»;ГКУСО РО Ёлкинский центр помощи детям;Галатова Маргарита Ивановна;346621, ул. Тимирязева 1, х. Ёлкин,  Багаевский район, Ростовская область;(86357) 41-5-36;http://cpd-elkin.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Ерофеевский центр помощи детям»;ГКУСО РО Ерофеевский центр помощи детям;Зинова Галина Владимировна;"346060, Ростовская область, Тарасовский район, 
х. Ерофеевка, ул. Школьная,17
";8-(863-86)-38-1-37;http://cpd-erofeevka.ru
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Зверевский центр помощи детям»;ГКУСО РО Зверевский центр помощи детям;Бобкина Елена Владимировна;346311, г.Зверево, ул.Космонавтов, 20, Ростовская область;8 ( 863 55) 4 - 23 - 39;http://ddzverevo.edusite.ru
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Кочетовский центр помощи детям»;ГКУСО РО Кочетовский центр помощи детям;Никитченко Любовь Михайловна;346633, Ростовская обл., Семикаракорский р-он, ст. Кочетовская, Переулок 11, 24;8(863 56)2 36 66;http://цпд-кочетовский.рф/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Мясниковский центр помощи детям с ограниченными возможностями здоровья»;ГКУСО РО Мясниковский центр помощи детям с ограниченными возможностями здоровья;Берекчиян Нина Михайловна;346800 Ростовская обл, Мясниковский район. с.Чалтырь, ул Карла Маркса, 29;"(8-863-49)2-11-41; 2-11-45;2-38-06";http://centr-arevik.ru
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Новочеркасский центр помощи детям № 1»;ГКУСО РО Новочеркасский центр помощи детям № 1;Лаптева Эльвира Николаевна;346410 Ростовская область, Г. Новочеркасск, ул. Грекова,110;8(8635)24-02-44;http://novotch-detdom1.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Новочеркасский центр помощи детям № 8»;ГКУСО РО Новочеркасский центр помощи детям № 8;Тёмина Лариса Валентиновна;346410, Ростовская обл., г. Новочеркасск, ул. им. генерала А.И. Лебедя, 17;(8635)24 22 94;http://ncpd8.ucoz.site
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Новошахтинский центр помощи детям»;ГКУСО РО Новошахтинский центр помощи детям;Шатохина Елена Анатольевна;ул. Садовая, 23 г.Новошахтинск;88636921306;https://detdom1-nov.ucoz.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Островянский центр помощи детям»;ГКУСО РО Островянский центр помощи детям;Дубко Людмила Григорьевна;347523 Ростовская область Орловский район х. Островянский ул. Советская,21;886375 44175;http://ostrov-cpd.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Ростовский центр помощи детям № 10»;ГКУСО РО Ростовский центр помощи детям № 10;Черная Ольга Николаевна;344020, г.Ростов-на-Дону ул.Грисенко, д.19;(863)2111173, (863)2522574;http://detdom10-rostov.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Ростовский центр помощи детям № 7»;ГКУСО РО Ростовский центр помощи детям № 7;Тимко Ольга Ивановна;"344095,

г. Ростов-на-Дону, ул. Вятская,37/4";тел.(863)252-76-70 Тел/факс:252-69-23, тел:252-77-64;https://дд7ростов.рф
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Ростовский центр помощи детям с ограниченными возможностями здоровья № 4»;ГКУСО РО Ростовский центр помощи детям № 4;Гривнак Наталья Александровна;г.Ростов-на-Дону, переулок Дальний, 17;8(863)234-04-33;http://dondetdom4.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Сандатовский центр помощи детям»;ГКУСО РО Сандатовский центр помощи детям;Белик Наталья Михайловна;347612, Ростовская область, Сальский район, с. Сандата, ул. Полевая,9;8(863-72) 4-84-01, (863-72)4-84-05;http://du-sandata.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Сулинский центр помощи детям»;ГКУСО РО Сулинский центр помощи детям;Костюкова Светлана Евгеньевна;346112 пер. Западный дом 1  х. Сулин Миллеровского района Ростовской области;8(86385)54683, 8(86385)54696;http://sulin-dd.gauro-riacro.ru
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Таганрогский центр помощи детям № 3»;ГКУСО РО Таганрогский центр помощи детям № 3;Попова Ирина Александровна;"4-й Линейный проезд, 146-а, Таганрог, Ростовская область, Россия;
Индекс 347917;";"324-711, 313-139;";http://тцпд3.рф
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Таганрогский центр помощи детям № 5»;ГКУСО РО Таганрогский центр помощи детям № 5;Чекаленко Елена Сергеевна;347923, г. Таганрог, ул. Свободы, 17 - 3;88634643460;http://super-kids.ucoz.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Таганрогский центр помощи детям № 7»;ГКУСО РО Таганрогский центр помощи детям № 7;Поленова Светлана Валентиновна;"347905, г. Таганрог, ул. Заводская, 7,

(863-4) 62-24-11

62-24-12";8(8634)62-24-12;http://myideti.sochost.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Шахтинский центр помощи детям № 1»;ГКУСО РО Шахтинский центр помощи детям № 1;Дорошенко Алла Юрьевна;346500 Ростовская область г.Шахты , ул.Шевченко, дом 113;88636227761, 88636223197;http://dd61.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Шахтинский центр помощи детям № 3»;ГКУСО РО Шахтинский центр помощи детям № 3;Бродовская Виктория Олеговна;346506,г. Шахты,улица Обуховой 2-б;(8636) 23 45 65, (8636) 23 40 62;http://www.domdetei-shakhty.ru/
Учреждение социального обслуживания центр помощи детям, оставшимся без попечения родителей;Государственное казенное учреждение социального обслуживания Ростовской области центр помощи детям, оставшимся без попечения родителей, «Шолоховский центр помощи детям»;ГКУСО РО Шолоховский центр помощи детям;Королёва Наталья Сергеевна;346266, Ростовская область, Шолоховский район, х. Калининский, ул. Центральная, 25;8(86353)73566, 8(86353)73553;http://detdomkalin.ucoz.net
